author_name,editor_name
Ingo Althfer,
William R. Swartout,
Robert M. Colomb,
Lokendra Shastri,
Lev Finkelstein,
Shaul Markovitch,
David G. Lowe,
Douglas E. Appelt,
Frans Voorbraak,
Lszl Mr,
John-Jules Ch. Meyer,
Wiebe van der Hoek,
Bernd van Linder,
Marilyn A. Walker,
Daniel S. Weld,
Marco Cadoli,
Francesco Scarcello,
Peter Walley,
Sandra Marcus,
Robert Stalnaker,
Roberto J. Bayardo Jr.,
Daniel P. Miranker,
Martin Berzins,
Dana S. Nau,
Monte Zweben,
Eugene Davis,
Brian Daun,
Ellen Drascher,
Michael Deale,
Megan Eskey,
Gadi Pinkas,
David Carmel,
Shaul Markovitch,
Kenneth M. F. Choi,
Jimmy Ho-Man Lee,
Peter J. Stuckey,
Richard Krajcoviech,
Margarta Kotocov,
Joseph Y. Halpern,
Joseph Y. Halpern,
W. W. Bledsoe,
W. W. Bledsoe,
Radford M. Neal,
Paul Smolensky,
Marc Gyssens,
Peter Jeavons,
David A. Cohen,
Peter L. Mott,
John P. McDermott,
Drew V. McDermott,
Jon Doyle,
Drew V. McDermott,
Ernest Davis,
Yukio Ohsawa,
Mitsuru Ishizuka,
Drew V. McDermott,
James A. Hendler,
Charles L. Ortiz Jr.,
Leslie Pack Kaelbling,
Michael L. Littman,
Anthony R. Cassandra,
Xumin Nie,
David A. Plaisted,
Xumin Nie,
David A. Plaisted,
Jonathan Berger,
Thomas S. Anantharaman,
Murray Campbell,
Feng-hsiung Hsu,
Daphne Koller,
Avi Pfeffer,
Richard P. Gabriel,
Tomasz Imielinski,
Chiaki Sakama,
Katsumi Inoue,
James H. Martin,
Daniel Berlin,
Paul S. Jacobs,
Edward P. Stabler Jr.,
Yahia Lebbah,
Olivier Lhomme,
Gerhard Friedrich,
Markus Stumptner,
Franz Wotawa,
Robert E. Shostak,
Nam Huyn,
Rina Dechter,
Judea Pearl,
Derek H. Sleeman,
M. J. Smith,
Krishnaprasad Thirunarayan,
Michael Kifer,
A. R. Lingard,
E. B. Richards,
David C. Luckham,
Nils J. Nilsson,
Anthony Lazanas,
Jean-Claude Latombe,
Larry R. Harris,
Gian Aldo Antonelli,
Gian Aldo Antonelli,
Yumi Iwasaki,
Herbert A. Simon,
Craig Boutilier,
Craig Boutilier,
Craig Boutilier,
Shmuel Onn,
Moshe Tennenholtz,
Chi-Tat Leung,
Tommy W. S. Chow,
Chi-Tat Leung,
Tommy W. S. Chow,
Michael Lebowitz,
Martin C. Cooper,
Martin C. Cooper,
Gregory F. Cooper,
Martin C. Cooper,
Martin C. Cooper,
Charles G. Morgan,
Ralph M. Weischedel,
Wilfried M. Voge,
Mark James,
Michael Otte,
Hans-Hellmut Nagel,
Fernando C. N. Pereira,
David H. D. Warren,
John F. Canny,
Alberto Maria Segre,
Geoffrey J. Gordon,
Charles Elkan,
Blaz Zupan,
Marko Bohanec,
Janez Demsar,
Ivan Bratko,
Lawrence Birnbaum,
Manfred Jaeger,
Manfred Jaeger,
Marco Schaerf,
Marco Cadoli,
Yefim Schukin,
Tuomas Sandholm,
Kate Larson,
Martin Andersson,
Onn Shehory,
Fernando Tohm,
Daniel J. Lehmann,
Menachem Magidor,
Michael R. Wick,
William B. Thompson,
Gunther Sablon,
Luc De Raedt,
Maurice Bruynooghe,
David Makinson,
Karl Schlechta,
Helmut Horacek,
Avrim Blum,
Merrick L. Furst,
Avrim Blum,
Pat Langley,
Norman M. Sadeh,
Katia P. Sycara,
Yalin Xiong,
Melanie Moses,
Stephanie Forrest,
Yoram Moses,
Yoav Shoham,
Yoram Moses,
Moshe Tennenholtz,
Ira Pohl,
Paul H. Morris,
Kostas Stergiou,
Manolis Koubarakis,
Eugene Charniak,
Robert P. Goldman,
Eugene Charniak,
Solomon Eyal Shimony,
P. M. Will,
K. S. Pennington,
Yorick Wilks,
Yorick Wilks,
Linda M. Wills,
Akira Shimaya,
Tod S. Levitt,
Daryl T. Lawton,
Grigori Schwarz,
Grigori Schwarz,
Peter B. Ladkin,
Alexander Reinefeld,
Alon Y. Levy,
Richard Fikes,
Yehoshua Sagiv,
Alon Y. Levy,
Yumi Iwasaki,
Richard Fikes,
Roy Rada,
Alon Y. Levy,
Marie-Christine Rousset,
Ashwin Ram,
J. C. Santamara,
Rajesh P. N. Rao,
Dana H. Ballard,
Ronald Fagin,
Joseph Y. Halpern,
Moshe Y. Vardi,
Teodor C. Przymusinski,
Teodor C. Przymusinski,
Teodor C. Przymusinski,
William A. Woods,
John Makhoul,
P. P. Chakrabarti,
Margaret A. Boden,
Margaret A. Boden,
Jay M. Tenenbaum,
Harry G. Barrow,
Jack Mostow,
Radu Horaud,
Michael Brady,
Sanjaya Addanki,
Roberto Cremonini,
J. Scott Penberthy,
John F. Horty,
Martha E. Pollack,
Glenn A. Kramer,
Russell Greiner,
Pekka Orponen,
Kenichi Yoshida,
Hiroshi Motoda,
Ivo Dntsch,
Gnther Gediga,
John K. Tsotsos,
Sean M. Culhane,
Winky Yan Kei Wai,
Yuzhong Lai,
Neal Davis,
Fernando Nuflo,
Solomon Eyal Shimony,
Devika Subramanian,
Russell Greiner,
Judea Pearl,
Satoshi Sato,
A. C. Cem Say,
